序号,签单年份,项目规模,金额W,实际毛利率,预计毛利率,实际-预计,签约方式,区域,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56
20.0,2021.0,微型项目,9.18,0.89,0.8083,0.0817,代理商,华北,,,,,,,,,,,,,,,,,实际<预计,14,18.0,6.0,,,,,各规模40上下占比趋势,,,,,,,,,,,,,,,,,,,,,,,
21.0,2021.0,小型项目,25.0,0.66,0.804,-0.14400000000000002,代理商,华东,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,2022,,,,,2023,,,,,,,,,,,,
22.0,2021.0,微型项目,9.0,0.97,0.9733,-0.0033000000000000806,代理商,华东,,,,,,,,,,,,,,,,,,,,,,,,,,微型项目,小型项目,中型项目,大型项目,超大型项目,微型项目,小型项目,中型项目,大型项目,超大型项目,微型项目,小型项目,中型项目,大型项目,超大型项目,,,,,,,,
23.0,2021.0,微型项目,5.0,0.86,0.956,-0.09599999999999997,代理商,华南,,,,,,>=70%,<70%,,,,,,,,,,,2021,2022.0,2023.0,,,,,>=70%,121,76,57,17,1,132,70,73,20,4,165,69,54,13,1,0.0,,,,,,,
24.0,2021.0,微型项目,6.0,0.56,0.725,-0.16499999999999992,直签,华北,,,,,2021,0,3,,,,,,,,,,实际>预计,23,28.0,37.0,,,,,<70%,1,3,6,8,2,3,3,6,3,0,2,1,1,0,0,0.0,,,,,,,
25.0,2021.0,小型项目,16.5,0.96,0.9407,0.019299999999999984,直签,华北,,,,,2022,2,2,,,,,,,,,,实际=预计,86,96.0,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,2021.0,微型项目,5.0,0.97,0.968,0.0020000000000000018,代理商,华北,,,,,2023,0,1,,,,,,,,,,实际<预计,13,11.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,2021.0,微型项目,5.5,0.7,0.7818,-0.0818000000000001,代理商,华北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,2021.0,小型项目,17.4,0.95,1.0,-0.050000000000000044,直签,华北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,2021.0,小型项目,30.0,0.96,0.9714,-0.011400000000000077,代理商,西北,,,,签约方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,2021.0,小型项目,23.0,0.95,1.0,-0.050000000000000044,代理商,华南,,,,项目是否大于七十按年份规模分,,代理商,,直签,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,2021.0,中型项目,49.0,0.86,0.8744,-0.014399999999999968,直签,华北,,,,,,>=70%,<70%,>=70%,<70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,2021.0,微型项目,0.6,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,2021,0,24,79,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,2021.0,大型项目,105.82,0.54,0.6541,-0.11409999999999998,代理商,华中,,,,,2022,172,22,91,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,2021.0,微型项目,1.9,0.97,1.0,-0.030000000000000027,直签,华北,,,,,2023,186,15,86,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,2021.0,微型项目,4.0,0.97,1.0,-0.030000000000000027,直签,华北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,2021.0,微型项目,8.0,0.97,0.9313,0.03869999999999996,代理商,华南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,2021.0,小型项目,16.0,0.67,0.8969,-0.2269,代理商,华东,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,2021.0,微型项目,2.0,0.97,0.72,0.25,代理商,华东,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,2021.0,中型项目,40.0,0.75,0.7905,-0.04049999999999998,代理商,华南,,,,,,2021,,2022,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,2021.0,微型项目,8.0,0.96,0.97,-0.010000000000000009,代理商,华东,,,,,,代理商,直签,代理商,直签,代理商,直签,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,2021.0,微型项目,1.5,0.97,1.0,-0.030000000000000027,直签,西南,,,,,>=70%,0,79,172,91,186,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,2021.0,微型项目,2.0,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,<70%,24,32,22,29,15,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,2021.0,小型项目,11.0,0.96,1.0,-0.040000000000000036,直签,西南,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,2021.0,小型项目,16.0,0.14,0.8364,-0.6964,直签,西南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,2021.0,小型项目,20.52,0.57,0.366,0.20399999999999996,直签,华东,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,2021.0,小型项目,13.0,0.96,1.0,-0.040000000000000036,直签,华北,,,,,,代理商,直签,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,2021.0,中型项目,59.0,0.55,0.8615,-0.3115,直签,西南,,,,,>=70%,515,256,,,,,,,2021,,2022,,,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,
48.0,2021.0,微型项目,8.0,0.95,1.0,-0.050000000000000044,代理商,华南,,,,,<70%,61,80,,,,,,,代理商,直签,代理商,直签,,,,,,,代理商,直签,,,,,,,,,,,,,,,,,,,,,,,
49.0,2021.0,微型项目,6.0,0.97,0.9083,0.06169999999999998,代理商,华北,,,,,,,,,,,,,>=40%,174,98,191,108,,,,,,,198,104,,,,,,,,,,,,,,,,,,,,,,,
50.0,2021.0,微型项目,8.0,0.88,0.9,-0.020000000000000018,代理商,华东,,,,,,,,,,,,,<40%,7,13,3,12,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,
51.0,2021.0,中型项目,35.58,0.97,1.0,-0.030000000000000027,直签,华南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,2021.0,微型项目,6.0,0.97,0.96,0.010000000000000009,直签,华北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,2021.0,中型项目,40.0,0.85,0.9077,-0.057699999999999974,代理商,华东,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,2021.0,微型项目,2.75,-0.89,1.0,-1.8900000000000001,直签,华南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,2021.0,微型项目,0.78,0.97,1.0,-0.030000000000000027,直签,华北,,,,,,代理商,直签,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,2021.0,微型项目,7.2,0.97,1.0,-0.030000000000000027,直签,华东,,,,,>=40%,563,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,2021.0,小型项目,12.0,0.82,0.85,-0.030000000000000027,代理商,华北,,,,,<40%,13,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,2021.0,中型项目,31.0,0.36,0.4963,-0.13630000000000003,代理商,华东,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,2021.0,微型项目,2.4,0.84,0.725,0.11499999999999999,代理商,华北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,2021.0,微型项目,7.0,0.97,1.0,-0.030000000000000027,代理商,华南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,2021.0,小型项目,14.0,0.75,0.82,-0.06999999999999995,直签,华北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,2021.0,微型项目,2.0,0.63,0.72,-0.08999999999999997,代理商,华北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,2021.0,大型项目,127.28,0.96,1.0,-0.040000000000000036,直签,华南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,2021.0,微型项目,10.0,0.42,0.694,-0.27399999999999997,代理商,华东,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.0,2021.0,小型项目,15.0,0.81,0.7733,0.036700000000000066,代理商,华东,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.0,2021.0,中型项目,46.5,0.72,0.9449,-0.2249,直签,华东,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,2021.0,中型项目,37.1,-1.01,0.8248,-1.8348,直签,华南,,,,,按区域分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,2021.0,小型项目,21.5,0.96,0.9246,0.03539999999999999,直签,华北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.0,2021.0,中型项目,48.42,0.91,0.8861,0.023900000000000032,代理商,华南,,,,,华北,西北,华东,华中,华南,西南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,2021.0,微型项目,0.88,0.97,0.6818,0.2882,代理商,华南,,,,>=70%,305,24,203,7,207,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,2021.0,小型项目,20.0,0.93,1.0,-0.06999999999999995,直签,华北,,,,<70%,38,5,49,4,34,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.0,2021.0,中型项目,37.6,0.68,0.2777,0.40230000000000005,代理商,华北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.0,2021.0,微型项目,3.0,0.97,0.9467,0.023299999999999987,代理商,华北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.0,2021.0,中型项目,45.0,0.97,0.96,0.010000000000000009,代理商,华南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.0,2021.0,中型项目,50.0,0.75,0.617,0.133,代理商,华南,,,,,2021,,,,,,2022,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.0,2021.0,小型项目,18.0,0.95,0.9389,0.011099999999999999,直签,华北,,,,,华北,西北,华东,华中,华南,西南,华北,西北,华东,华中,华南,西南,华北,,,,,,,西北,华东,华中,华南,西南,,,,,,,,,,,,,,,,,,,,
77.0,2021.0,微型项目,2.0,0.97,1.0,-0.030000000000000027,代理商,华北,,,,>=70%,107,4,58,0,61,6,105,7,67,3,71,10,93,,,,,,,13,78,4,75,9,,,,,,,,,,,,,,,,,,,,
78.0,2021.0,小型项目,16.4,0.85,0.2317,0.6183,代理商,华北,,,,<70%,13,2,24,1,11,5,15,3,15,1,13,4,10,,,,,,,0,10,2,10,2,,,,,,,,,,,,,,,,,,,,
79.0,2021.0,微型项目,8.0,0.73,0.95,-0.21999999999999997,代理商,华北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.0,2021.0,微型项目,6.0,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.0,2021.0,中型项目,80.55,0.92,0.9329,-0.012899999999999912,代理商,华北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.0,2021.0,微型项目,10.0,0.82,0.82,0.0,代理商,华北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.0,2021.0,中型项目,85.0,0.88,0.9175,-0.03749999999999998,直签,华北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84.0,2021.0,中型项目,42.0,0.94,0.9571,-0.017100000000000004,代理商,华北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.0,2021.0,中型项目,65.0,0.94,0.8367,0.10329999999999995,代理商,华北,,,,华北,西北,华东,华中,华南,西南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86.0,2021.0,大型项目,240.0,0.44,0.8227,-0.3827,直签,华北,,,>=40%,336,29,239,10,227,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.0,2021.0,中型项目,90.0,0.96,0.9722,-0.012199999999999989,代理商,华北,,,<40%,7,0,13,1,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88.0,2021.0,微型项目,8.0,0.84,1.0,-0.16000000000000003,代理商,华南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89.0,2021.0,微型项目,6.04,0.97,0.7268,0.24319999999999997,直签,西南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.0,2021.0,微型项目,5.0,0.91,0.89,0.020000000000000018,代理商,华南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91.0,2021.0,微型项目,10.0,0.79,1.0,-0.20999999999999996,代理商,华北,,,,2021,,,,,,2022,,,,,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92.0,2021.0,小型项目,11.0,0.7,0.8455,-0.14550000000000007,代理商,西北,,,,华北,西北,华东,华中,华南,西南,华北,西北,华东,华中,华南,西南,华北,西北,,,,,,,华东,华中,华南,西南,,,,,,,,,,,,,,,,,,,,,
93.0,2021.0,小型项目,15.0,0.78,0.8571,-0.07709999999999995,代理商,华北,,,>=40%,117,6,73,1,65,10,117,10,78,4,78,12,102,13,,,,,,,88,5,84,10,,,,,,,,,,,,,,,,,,,,,
94.0,2021.0,微型项目,6.83,0.97,0.8243,0.14569999999999994,直签,华东,,,<40%,3,0,9,0,7,1,3,0,4,0,6,2,1,0,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,
95.0,2021.0,小型项目,27.28,0.91,0.931,-0.02100000000000002,直签,华南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96.0,2021.0,中型项目,78.7,0.37,0.8105,-0.4405,直签,华南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.0,2021.0,中型项目,66.0,0.96,0.9774,-0.017400000000000082,直签,华北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.0,2021.0,中型项目,42.0,0.9,0.835,0.06500000000000006,代理商,华北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.0,2021.0,中型项目,40.0,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,2021.0,小型项目,11.14,0.96,1.0,-0.040000000000000036,直签,西南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.0,2021.0,小型项目,12.8,0.89,0.8906,-0.0005999999999999339,代理商,华东,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102.0,2021.0,小型项目,12.0,0.72,0.9083,-0.18830000000000002,代理商,华南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.0,2021.0,中型项目,33.0,0.87,0.822,0.04800000000000004,代理商,华南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104.0,2021.0,中型项目,36.0,0.95,0.9,0.04999999999999993,代理商,华东,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105.0,2021.0,小型项目,20.0,0.81,0.8941,-0.08409999999999995,代理商,华北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106.0,2021.0,中型项目,31.05,0.54,0.7424,-0.2023999999999999,代理商,华东,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107.0,2021.0,微型项目,2.36,0.97,1.0,-0.030000000000000027,直签,华南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108.0,2021.0,小型项目,17.0,0.75,0.8941,-0.1441,代理商,华南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109.0,2021.0,小型项目,12.5,0.78,1.0,-0.21999999999999997,代理商,华北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110.0,2021.0,微型项目,10.0,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111.0,2021.0,小型项目,30.0,0.92,0.915,0.0050000000000000044,代理商,华北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112.0,2021.0,微型项目,1.2,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.0,2021.0,中型项目,98.0,-0.04,0.7273,-0.7673,直签,华东,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114.0,2021.0,微型项目,0.5,0.97,1.0,-0.030000000000000027,代理商,华东,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115.0,2021.0,小型项目,15.0,0.93,0.92,0.010000000000000009,直签,华北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116.0,2021.0,微型项目,3.98,0.42,0.4497,-0.029700000000000004,直签,华南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117.0,2021.0,微型项目,7.02,0.91,0.7607,0.1493,直签,华南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118.0,2021.0,微型项目,2.98,0.97,0.6477,0.3222999999999999,直签,华南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119.0,2021.0,小型项目,21.0,0.9,0.9143,-0.01429999999999998,代理商,华南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120.0,2021.0,微型项目,6.0,0.88,0.9,-0.020000000000000018,代理商,华北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121.0,2021.0,大型项目,105.0,0.27,0.847,-0.577,代理商,华东,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.0,2021.0,微型项目,4.5,0.7,0.7333,-0.033299999999999996,直签,华北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123.0,2021.0,微型项目,6.0,0.97,0.91,0.05999999999999994,代理商,华东,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124.0,2021.0,中型项目,31.0,0.67,0.74,-0.06999999999999995,直签,西北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125.0,2021.0,微型项目,9.0,0.9,0.9733,-0.07330000000000003,代理商,华北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126.0,2021.0,小型项目,14.8,0.94,0.7938,0.1462,直签,西南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.0,2021.0,中型项目,34.6,0.53,0.8714,-0.3413999999999999,直签,西南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.0,2021.0,中型项目,40.0,0.9,0.875,0.025000000000000022,代理商,华北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.0,2021.0,微型项目,8.0,0.95,0.96,-0.010000000000000009,代理商,华北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130.0,2021.0,微型项目,2.0,0.97,1.0,-0.030000000000000027,直签,华北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131.0,2021.0,微型项目,4.5,0.76,1.0,-0.24,代理商,华南,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
